Rok,OW NFZ,Płeć,Grupa wiekowa,Liczba pacjentów
2016,01,Mężczyzna,0-13,5284
2016,01,Mężczyzna,14-18,2808
2016,01,Mężczyzna,19-25,3695
2016,01,Mężczyzna,26-39,12315
2016,01,Mężczyzna,40-54,13089
2016,01,Mężczyzna,55-69,12838
2016,01,Mężczyzna,70-84,3356
2016,01,Mężczyzna,85+,691
2016,01,Kobieta,0-13,2269
2016,01,Kobieta,14-18,2549
2016,01,Kobieta,19-25,3656
2016,01,Kobieta,26-39,11773
2016,01,Kobieta,40-54,14708
2016,01,Kobieta,55-69,19292
2016,01,Kobieta,70-84,8790
2016,01,Kobieta,85+,2605
2016,01,Kobieta,BRAK,<5
2016,02,Mężczyzna,0-13,5506
2016,02,Mężczyzna,14-18,2794
2016,02,Mężczyzna,19-25,3127
2016,02,Mężczyzna,26-39,9565
2016,02,Mężczyzna,40-54,11896
2016,02,Mężczyzna,55-69,11556
2016,02,Mężczyzna,70-84,2863
2016,02,Mężczyzna,85+,467
2016,02,Kobieta,0-13,2457
2016,02,Kobieta,14-18,2398
2016,02,Kobieta,19-25,3192
2016,02,Kobieta,26-39,10106
2016,02,Kobieta,40-54,15538
2016,02,Kobieta,55-69,18269
2016,02,Kobieta,70-84,7323
2016,02,Kobieta,85+,1636
2016,03,Mężczyzna,0-13,3089
2016,03,Mężczyzna,14-18,1415
2016,03,Mężczyzna,19-25,2518
2016,03,Mężczyzna,26-39,8938
2016,03,Mężczyzna,40-54,11576
2016,03,Mężczyzna,55-69,10977
2016,03,Mężczyzna,70-84,2291
2016,03,Mężczyzna,85+,373
2016,03,Kobieta,0-13,1351
2016,03,Kobieta,14-18,1400
2016,03,Kobieta,19-25,2432
2016,03,Kobieta,26-39,7764
2016,03,Kobieta,40-54,11786
2016,03,Kobieta,55-69,14054
2016,03,Kobieta,70-84,5721
2016,03,Kobieta,85+,1261
2016,04,Mężczyzna,0-13,1012
2016,04,Mężczyzna,14-18,967
2016,04,Mężczyzna,19-25,1698
2016,04,Mężczyzna,26-39,6147
2016,04,Mężczyzna,40-54,6610
2016,04,Mężczyzna,55-69,5403
2016,04,Mężczyzna,70-84,1128
2016,04,Mężczyzna,85+,208
2016,04,Kobieta,0-13,395
2016,04,Kobieta,14-18,836
2016,04,Kobieta,19-25,1348
2016,04,Kobieta,26-39,5225
2016,04,Kobieta,40-54,6641
2016,04,Kobieta,55-69,7260
2016,04,Kobieta,70-84,2888
2016,04,Kobieta,85+,798
2016,05,Mężczyzna,0-13,3676
2016,05,Mężczyzna,14-18,1855
2016,05,Mężczyzna,19-25,3313
2016,05,Mężczyzna,26-39,11487
2016,05,Mężczyzna,40-54,13622
2016,05,Mężczyzna,55-69,13214
2016,05,Mężczyzna,70-84,3543
2016,05,Mężczyzna,85+,752
2016,05,Kobieta,0-13,1560
2016,05,Kobieta,14-18,1693
2016,05,Kobieta,19-25,3116
2016,05,Kobieta,26-39,10828
2016,05,Kobieta,40-54,16501
2016,05,Kobieta,55-69,20911
2016,05,Kobieta,70-84,9924
2016,05,Kobieta,85+,2901
2016,06,Mężczyzna,0-13,5907
2016,06,Mężczyzna,14-18,2663
2016,06,Mężczyzna,19-25,3971
2016,06,Mężczyzna,26-39,13157
2016,06,Mężczyzna,40-54,18149
2016,06,Mężczyzna,55-69,16403
2016,06,Mężczyzna,70-84,3997
2016,06,Mężczyzna,85+,592
2016,06,Kobieta,0-13,2939
2016,06,Kobieta,14-18,2675
2016,06,Kobieta,19-25,4207
2016,06,Kobieta,26-39,12444
2016,06,Kobieta,40-54,18715
2016,06,Kobieta,55-69,22048
2016,06,Kobieta,70-84,9311
2016,06,Kobieta,85+,1962
2016,07,Mężczyzna,0-13,11420
2016,07,Mężczyzna,14-18,4319
2016,07,Mężczyzna,19-25,6438
2016,07,Mężczyzna,26-39,23119
2016,07,Mężczyzna,40-54,23576
2016,07,Mężczyzna,55-69,21261
2016,07,Mężczyzna,70-84,6466
2016,07,Mężczyzna,85+,1376
2016,07,Mężczyzna,BRAK,6
2016,07,Kobieta,0-13,4747
2016,07,Kobieta,14-18,4256
2016,07,Kobieta,19-25,6447
2016,07,Kobieta,26-39,22870
2016,07,Kobieta,40-54,28086
2016,07,Kobieta,55-69,33934
2016,07,Kobieta,70-84,16386
2016,07,Kobieta,85+,4155
2016,07,Kobieta,BRAK,<5
2016,08,Mężczyzna,0-13,1246
2016,08,Mężczyzna,14-18,684
2016,08,Mężczyzna,19-25,1203
2016,08,Mężczyzna,26-39,4296
2016,08,Mężczyzna,40-54,5006
2016,08,Mężczyzna,55-69,4374
2016,08,Mężczyzna,70-84,1271
2016,08,Mężczyzna,85+,180
2016,08,Mężczyzna,BRAK,<5
2016,08,Kobieta,0-13,508
2016,08,Kobieta,14-18,686
2016,08,Kobieta,19-25,1040
2016,08,Kobieta,26-39,3767
2016,08,Kobieta,40-54,5281
2016,08,Kobieta,55-69,6353
2016,08,Kobieta,70-84,3310
2016,08,Kobieta,85+,715
2016,08,Kobieta,BRAK,<5
2016,09,Mężczyzna,0-13,3064
2016,09,Mężczyzna,14-18,1406
2016,09,Mężczyzna,19-25,2353
2016,09,Mężczyzna,26-39,9371
2016,09,Mężczyzna,40-54,15023
2016,09,Mężczyzna,55-69,13424
2016,09,Mężczyzna,70-84,2125
2016,09,Mężczyzna,85+,277
2016,09,Kobieta,0-13,1247
2016,09,Kobieta,14-18,1288
2016,09,Kobieta,19-25,2167
2016,09,Kobieta,26-39,8049
2016,09,Kobieta,40-54,13911
2016,09,Kobieta,55-69,14227
2016,09,Kobieta,70-84,4919
2016,09,Kobieta,85+,874
2016,10,Mężczyzna,0-13,1825
2016,10,Mężczyzna,14-18,945
2016,10,Mężczyzna,19-25,1696
2016,10,Mężczyzna,26-39,5916
2016,10,Mężczyzna,40-54,6868
2016,10,Mężczyzna,55-69,6125
2016,10,Mężczyzna,70-84,1941
2016,10,Mężczyzna,85+,423
2016,10,Kobieta,0-13,601
2016,10,Kobieta,14-18,750
2016,10,Kobieta,19-25,1566
2016,10,Kobieta,26-39,5406
2016,10,Kobieta,40-54,7877
2016,10,Kobieta,55-69,9365
2016,10,Kobieta,70-84,5094
2016,10,Kobieta,85+,1472
2016,10,Kobieta,BRAK,<5
2016,11,Mężczyzna,0-13,4218
2016,11,Mężczyzna,14-18,2296
2016,11,Mężczyzna,19-25,3554
2016,11,Mężczyzna,26-39,11246
2016,11,Mężczyzna,40-54,13347
2016,11,Mężczyzna,55-69,11418
2016,11,Mężczyzna,70-84,2981
2016,11,Mężczyzna,85+,560
2016,11,Kobieta,0-13,1615
2016,11,Kobieta,14-18,2159
2016,11,Kobieta,19-25,3800
2016,11,Kobieta,26-39,12801
2016,11,Kobieta,40-54,16131
2016,11,Kobieta,55-69,17436
2016,11,Kobieta,70-84,7616
2016,11,Kobieta,85+,1787
2016,12,Mężczyzna,0-13,7191
2016,12,Mężczyzna,14-18,3778
2016,12,Mężczyzna,19-25,5536
2016,12,Mężczyzna,26-39,19526
2016,12,Mężczyzna,40-54,22247
2016,12,Mężczyzna,55-69,19617
2016,12,Mężczyzna,70-84,4782
2016,12,Mężczyzna,85+,543
2016,12,Kobieta,0-13,2704
2016,12,Kobieta,14-18,3381
2016,12,Kobieta,19-25,5464
2016,12,Kobieta,26-39,19874
2016,12,Kobieta,40-54,26617
2016,12,Kobieta,55-69,30450
2016,12,Kobieta,70-84,11413
2016,12,Kobieta,85+,2092
2016,13,Mężczyzna,0-13,1481
2016,13,Mężczyzna,14-18,1033
