"Kod";"Nazwa";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2005;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2006;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2007;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2008;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2009;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2010;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2011;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2012;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2013;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2014;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2015;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2016;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2017;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2018;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2019;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2020;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2021;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2022;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2023;[osoba]";"zaburzenia psychiczne i zaburzenia zachowania (bez uzależnień) ogółem;2024;[osoba]";
0200000;"DOLNOŚLĄSKIE";95055;103613;97295;93427;84262;85709;83055;98138;104665;128191;106254;90787;92037;88163;100857;108404;102413;94205;;;
0400000;"KUJAWSKO-POMORSKIE";83068;78026;76764;77784;79582;77824;80526;95840;92150;90404;94363;96382;96599;96914;99685;99114;99521;115452;;;
0600000;"LUBELSKIE";69446;54182;68354;79336;66662;64997;72081;83796;71055;73913;69410;64222;65579;63978;68133;67467;63176;63709;;;
0800000;"LUBUSKIE";35021;33604;33054;34155;31722;36603;38315;40157;41705;39650;39854;41773;43600;44931;39884;37363;39137;47519;;;
1000000;"ŁÓDZKIE";69433;64639;67817;74001;76817;90124;105781;127271;127355;113076;91817;109285;104252;103195;111763;109194;140258;140152;;;
1200000;"MAŁOPOLSKIE";130655;118183;112813;117761;120053;115063;124977;125505;126236;121958;125077;124641;124666;123824;115368;108987;124212;143251;;;
1400000;"MAZOWIECKIE";128642;136602;137014;147101;143195;154416;163828;185809;185005;188577;186393;205643;225170;225037;280240;280385;424532;402380;;;
1600000;"OPOLSKIE";21193;23000;23309;24408;26915;24674;25624;24099;27671;23691;26757;30128;28965;30729;34229;29460;35859;38730;;;
1800000;"PODKARPACKIE";84584;75521;62651;69279;70370;73030;73378;74049;76672;76518;81695;75882;72637;69121;68805;61668;70740;76950;;;
2000000;"PODLASKIE";32901;31277;31462;34332;37427;36426;36103;42557;41468;43032;42507;42929;39533;42031;35045;30253;33735;38277;;;
2200000;"POMORSKIE";83018;86641;79561;75312;78986;78788;63408;75159;87456;86747;90942;95863;90273;89128;105608;121616;98522;115724;;;
2400000;"ŚLĄSKIE";136674;120083;145142;137324;137494;144886;146259;143188;154963;141644;161258;161534;161932;159568;161153;161371;183758;196891;;;
2600000;"ŚWIĘTOKRZYSKIE";37034;38498;49592;44780;45366;38052;38905;39646;45352;42955;42414;44421;50844;44162;46200;39660;44174;44745;;;
2800000;"WARMIŃSKO-MAZURSKIE";34358;31906;31395;34746;31748;30822;30498;30965;35942;34637;34267;42683;43418;42411;45477;49017;50637;48875;;;
3000000;"WIELKOPOLSKIE";101625;84088;93925;91440;99401;85650;54876;86432;104588;91014;104057;94594;119673;119131;127823;125574;91665;94988;;;
3200000;"ZACHODNIOPOMORSKIE";36146;35050;33433;30000;40409;40902;44434;49535;52585;56647;61545;56433;50507;44712;43904;41496;45099;52960;;;
