"rok","mc","wojewodztwo","status_realizacji","liczba_recept"
"2020","04",DOLNOŚLĄSKIE,ZREALIZOWANA,"2345"
"2020","04",DOLNOŚLĄSKIE,WYSTAWIONA,"5"
"2020","04",KUJAWSKO-POMORSKIE,ZREALIZOWANA,"676"
"2020","04",KUJAWSKO-POMORSKIE,WYSTAWIONA,<5
"2020","04",LUBELSKIE,ZREALIZOWANA,"1850"
"2020","04",LUBELSKIE,WYSTAWIONA,<5
"2020","04",LUBUSKIE,ZREALIZOWANA,"836"
"2020","04",ŁÓDZKIE,ZREALIZOWANA,"1708"
"2020","04",ŁÓDZKIE,WYSTAWIONA,"10"
"2020","04",MAŁOPOLSKIE,ZREALIZOWANA,"4832"
"2020","04",MAŁOPOLSKIE,WYSTAWIONA,"13"
"2020","04",MAZOWIECKIE,ZREALIZOWANA,"3038"
"2020","04",MAZOWIECKIE,WYSTAWIONA,"36"
"2020","04",OPOLSKIE,ZREALIZOWANA,"656"
"2020","04",OPOLSKIE,WYSTAWIONA,<5
"2020","04",PODKARPACKIE,ZREALIZOWANA,"1123"
"2020","04",PODLASKIE,ZREALIZOWANA,"1252"
"2020","04",PODLASKIE,WYSTAWIONA,"6"
"2020","04",POMORSKIE,ZREALIZOWANA,"996"
"2020","04",POMORSKIE,WYSTAWIONA,<5
"2020","04",ŚLĄSKIE,ZREALIZOWANA,"6248"
"2020","04",ŚLĄSKIE,WYSTAWIONA,"5"
"2020","04",ŚWIĘTOKRZYSKIE,ZREALIZOWANA,"1568"
"2020","04",ŚWIĘTOKRZYSKIE,WYSTAWIONA,<5
"2020","04",WARMIŃSKO-MAZURSKIE,ZREALIZOWANA,"402"
"2020","04",WIELKOPOLSKIE,ZREALIZOWANA,"7664"
"2020","04",WIELKOPOLSKIE,WYSTAWIONA,"72"
"2020","04",ZACHODNIOPOMORSKIE,ZREALIZOWANA,"1033"
"2020","04",ZACHODNIOPOMORSKIE,WYSTAWIONA,"8"
"2020","04",,ZREALIZOWANA,"298"
"2020","05",DOLNOŚLĄSKIE,ZREALIZOWANA,"4006"
